x_of13_m,x_v2_m,z_m,winkel_grad,n_facetten,tau_t_m2s2,cf,cp_wand,p_wand_Pa,wandabstand_m,u_erstezelle_ms
0.964515,3.17081,1.08362,18.0986,50,-0.513548,-0.00114122,-0.202016,-111.362,0.000312526,8.42032
0.975096,3.1814,1.07961,20.8198,40,-0.395972,-0.000879938,-0.206543,-113.857,0.000312543,7.49785
0.985669,3.19197,1.07558,18.3934,50,-0.290505,-0.000645566,-0.214869,-118.446,0.000312611,6.73586
0.996545,3.20284,1.07248,17.2201,40,-0.369742,-0.00082165,-0.198968,-109.681,0.000312429,7.55783
1.00609,3.21239,1.06925,18.9371,40,-0.362003,-0.000804452,-0.195637,-107.845,0.000312274,7.59875
1.01566,3.22196,1.06592,19.253,40,-0.344576,-0.000765724,-0.190671,-105.107,0.000312478,7.56076
1.02527,3.23157,1.06255,19.398,40,-0.329062,-0.000731249,-0.186083,-102.578,0.000312535,7.54605
1.03479,3.24109,1.05919,19.491,40,-0.315274,-0.000700609,-0.181899,-100.272,0.000312525,7.53262
1.04434,3.25064,1.0558,19.5662,40,-0.302959,-0.000673242,-0.178265,-98.2687,0.000312548,7.52524
1.05391,3.26021,1.05239,19.3439,40,-0.290991,-0.000646647,-0.174997,-96.467,0.00031249,7.51139
1.06364,3.26994,1.04903,18.8668,42,-0.297745,-0.000661655,-0.167595,-92.3866,0.000312525,7.59179
1.07454,3.28084,1.04534,20.5441,48,-0.318193,-0.000707095,-0.15056,-82.9963,0.000312526,7.71692
1.08492,3.29122,1.04105,22.6952,40,-0.22839,-0.000507533,-0.162365,-89.5036,0.000312398,7.1534
1.09546,3.30176,1.03659,20.4993,50,-0.139652,-0.000310339,-0.180472,-99.485,0.000312414,6.68318
1.10653,3.31283,1.03297,19.3117,40,-0.19549,-0.000434421,-0.155593,-85.7709,0.000312334,7.01745
1.1158,3.3221,1.02947,20.8426,40,-0.186279,-0.000413953,-0.152748,-84.2025,0.000312534,6.99502
1.1256,3.3319,1.02571,21.0185,40,-0.172749,-0.000383886,-0.148569,-81.8988,0.00031235,6.91982
1.13501,3.34131,1.02208,21.1393,40,-0.164096,-0.000364657,-0.144791,-79.8159,0.000312539,6.88394
1.1446,3.3509,1.01837,21.2427,40,-0.158419,-0.000352043,-0.141451,-77.975,0.000312496,6.88549
1.15411,3.36041,1.01466,20.9493,40,-0.155439,-0.00034542,-0.138385,-76.2846,0.000312488,6.90586
